Id,Label,timeset,incidência-2017,incidência - 2018,incidência - 2019,modularity_class,pageranks
Brasilândia de Minas,Brasilândia de Minas,,31.79,93.14,741.38,5,0.001189
Riachinho,Riachinho,,906.45,24.13,4743.18,5,0.001046
Lagoa da Prata,Lagoa da Prata,,19.92,1072.18,2798.4,6,0.001766
Santa Rita de Caldas,Santa Rita de Caldas,,0,0,22.29,4,0.001009
Fronteira dos Vales,Fronteira dos Vales,,126.21,21.13,43.47,1,0.000687
Braúnas,Braúnas,,39.64,59.96,20.68,0,0.000936
Varginha,Varginha,,302.22,28.28,53.54,4,0.00439
Jequitaí,Jequitaí,,75.24,0,1711.2,6,0.000957
Alpinópolis,Alpinópolis,,5.09,10.08,855.91,4,0.001591
Três Corações,Três Corações,,1306.45,5.06,50.69,4,0.003568
Jequitibá,Jequitibá,,0,18.8,3624.16,0,0.000513
Santana de Cataguases,Santana de Cataguases,,78.21,25.8,51.91,2,0.000263
Itaguara,Itaguara,,68.33,7.5,2477.78,6,0.002352
Piracema,Piracema,,0,0,1074.6,6,0.000615
São Sebastião do Paraíso,São Sebastião do Paraíso,,38.81,63.8,2448.55,4,0.0026
São Tomás de Aquino,São Tomás de Aquino,,28.42,41.54,3081.51,4,0.000255
São Pedro do Suaçuí,São Pedro do Suaçuí,,0,0,548.1,0,0.002184
Candeias,Candeias,,6.62,52.82,1767.12,6,0.001136
Pouso Alto,Pouso Alto,,0,16.17,33.44,4,0.00124
Carneirinho,Carneirinho,,190.29,29.79,590.83,6,0.00031
Iturama,Iturama,,82.23,137.72,806.24,6,0.001954
Monte Belo,Monte Belo,,37.19,7.43,1031.87,4,0.001587
Santa Helena de Minas,Santa Helena de Minas,,31.44,140.41,94.56,1,0.000618
Pirapora,Pirapora,,24.9,33.51,1467.76,5,0.002657
Cabo Verde,Cabo Verde,,13.99,0,21.31,4,0.000964
Carmo do Rio Claro,Carmo do Rio Claro,,9.37,13.98,821.53,4,0.001591
São José do Alegre,São José do Alegre,,0,0,23.91,4,0.001157
Soledade de Minas,Soledade de Minas,,49.55,0,16.36,4,0.000492
São Brás do Suaçuí,São Brás do Suaçuí,,26.94,106.75,429.99,2,0.001044
Ibitiúra de Minas,Ibitiúra de Minas,,0,0,0,4,0.000407
Cássia,Cássia,,0,11.08,941.43,4,0.001388
São José do Jacuri,São José do Jacuri,,0,0,231.59,0,0.001376
Piau,Piau,,139.47,105.26,760.04,2,0.000329
Ijaci,Ijaci,,63.01,15.48,123.3,6,0.000322
Alvinópolis,Alvinópolis,,51.22,96.16,1883.33,1,0.000715
Poços de Caldas,Poços de Caldas,,3.67,4.82,12.04,4,0.002688
Araçuaí,Araçuaí,,335.39,104.39,351.45,0,0.002201
Capitão Enéas,Capitão Enéas,,26.54,131.26,897.51,5,0.001203
Catuti,Catuti,,270.58,873.62,2036.74,5,0.000336
Divinésia,Divinésia,,29.1,144.72,0,2,0.000754
Piranguçu,Piranguçu,,18.26,36.27,18.33,4,0.000285
Juvenília,Juvenília,,0,273.04,523.29,5,0.000258
Pintópolis,Pintópolis,,26.53,0,1281.71,5,0.000411
