Id,Label,timeset,modularity_class,pageranks
Monte Belo,Monte Belo,,2,0.001587
Santa Helena de Minas,Santa Helena de Minas,,3,0.000618
Pirapora,Pirapora,,0,0.002657
Cabo Verde,Cabo Verde,,2,0.000964
Carmo do Rio Claro,Carmo do Rio Claro,,2,0.001591
Săo José do Alegre,Săo José do Alegre,,1,0.001157
Soledade de Minas,Soledade de Minas,,1,0.000492
Săo Brás do Suaçuí,Săo Brás do Suaçuí,,5,0.001044
Ibitiúra de Minas,Ibitiúra de Minas,,2,0.000407
Cássia,Cássia,,2,0.001388
Săo José do Jacuri,Săo José do Jacuri,,4,0.001376
Piau,Piau,,5,0.000329
Ijaci,Ijaci,,6,0.000322
Alvinópolis,Alvinópolis,,3,0.000715
Poços de Caldas,Poços de Caldas,,2,0.002688
Araçuaí,Araçuaí,,3,0.002201
Capităo Enéas,Capităo Enéas,,0,0.001203
Catuti,Catuti,,0,0.000336
Divinésia,Divinésia,,5,0.000754
Piranguçu,Piranguçu,,1,0.000285
Juvenília,Juvenília,,0,0.000258
Pintópolis,Pintópolis,,0,0.000411
Santa Rita de Minas,Santa Rita de Minas,,3,0.001471
Bom Repouso,Bom Repouso,,1,0.000596
Paulistas,Paulistas,,4,0.000359
Japaraíba,Japaraíba,,6,0.000838
Ribeirăo Vermelho,Ribeirăo Vermelho,,6,0.000637
Campo do Meio,Campo do Meio,,2,0.000593
Santana da Vargem,Santana da Vargem,,2,0.001799
Tocantins,Tocantins,,5,0.002003
Guaranésia,Guaranésia,,2,0.001117
Itapeva,Itapeva,,1,0.000931
Limeira do Oeste,Limeira do Oeste,,6,0.00031
Divino,Divino,,3,0.001594
Capităo Andrade,Capităo Andrade,,3,0.000331
Perdőes,Perdőes,,6,0.004562
Tręs Pontas,Tręs Pontas,,2,0.0016
Comendador Gomes,Comendador Gomes,,6,0.000743
Planura,Planura,,6,0.001347
Mariana,Mariana,,3,0.0028
Antônio Dias,Antônio Dias,,3,0.000541
Matipó,Matipó,,3,0.001169
Fervedouro,Fervedouro,,3,0.002497
Cordislândia,Cordislândia,,1,0.000644
Machado,Machado,,2,0.001943
Piranga,Piranga,,5,0.001038
Presidente Bernardes,Presidente Bernardes,,5,0.000423
Jaguaraçu,Jaguaraçu,,3,0.000403
Santa Maria de Itabira,Santa Maria de Itabira,,4,0.002687
Virgínia,Virgínia,,1,0.00053
Ibertioga,Ibertioga,,1,0.000735
Itumirim,Itumirim,,6,0.000491
Nazareno,Nazareno,,6,0.000864
Jacuí,Jacuí,,2,0.000255
Rio Piracicaba,Rio Piracicaba,,3,0.000792
Jequitinhonha,Jequitinhonha,,3,0.002274
