freq,casos,p_rt1,p_inc100k,nivel
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,2,0,19,1
880,2,0,19,1
880,7,0,66,1
880,6,0,57,1
880,30,0,352,1
880,33,0,419,4
880,0,0,0,2
880,0,0,0,2
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,1,0,25,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,0,0,0,1
774,1,0,25,1
774,0,0,0,1
774,4,0,103,1
774,13,0,337,1
774,3,0,77,1
774,5,0,129,1
774,3,0,77,1
774,5,0,129,1
774,7,0,207,1
774,16,0,519,1
774,7,0,233,1
774,10,0,415,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,2,0,56,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,2,0,56,1
383,0,0,0,1
383,2,0,56,1
383,1,0,28,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,0,0,0,1
383,3,0,84,1
383,1,0,28,1
383,4,0,113,1
383,0,0,0,1
383,1,0,28,1
383,5,0,169,1
383,4,0,141,1
383,2,0,56,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,1,0,16,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,1,0,16,1
660,0,0,0,1
660,0,0,0,1
660,0,0,0,1
660,1,0,16,1
660,1,0,16,1
660,2,0,32,1
660,2,0,32,1
660,0,0,0,1
660,0,0,0,1
660,2,0,32,1
660,3,0,48,1
660,12,0,209,1
660,13,0,241,4
660,24,0,500,4
660,22,0,516,4
660,20,0,580,4
769,0,0,0,1
769,0,0,0,1
769,2,0,6,1
769,0,0,0,1
769,1,0,3,1
769,1,0,3,1
769,2,0,6,1
769,0,0,0,1
769,0,0,0,1
769,2,0,6,1
769,1,0,3,1
769,4,0,12,1
769,4,0,12,1
769,8,0,25,1
769,22,0,70,1
769,14,0,44,4
769,20,0,63,4
769,5,0,15,2
769,6,0,19,2
769,17,0,54,2
769,9,0,28,2
769,1,0,3,2
769,2,0,6,1
769,1,0,3,1
769,2,0,6,1
769,2,0,6,1
769,1,0,3,1
769,0,0,0,1
769,1,0,3,1
769,1,0,3,1
769,0,0,0,1
769,1,0,3,1
769,1,0,3,1
769,0,0,0,1
769,0,0,0,1
769,0,0,0,1
769,0,0,0,1
769,1,0,3,1
769,0,0,0,1
769,0,0,0,1
769,10,0,31,1
769,4,0,12,1
769,3,0,9,1
769,3,0,9,1
769,5,0,15,1
769,2,0,6,1
769,9,0,28,1
769,5,0,15,1
769,0,0,0,1
769,0,0,0,1
769,0,0,0,1
769,0,0,0,1
769,18,0,57,1
769,45,1,146,4
769,52,0,168,4
769,56,0,181,4
769,62,0,204,4
769,46,0,149,4
769,60,0,200,4
769,49,0,162,4
769,59,0,200,4
769,24,0,79,4
