Id,Incidência-2017,Incidência - 2018,Incidência - 2019
Santo Hipólito,154.04,31.08,1576.07
Santos Dumont,4.21,2.1,27.92
São Bento Abade,277.61,0,0
São Brás do Suaçuí,26.94,106.75,429.99
São Domingos das Dores,0,0,0
São Domingos do Prata,11.24,28.11,293.22
São Félix de Minas,28.89,57.84,29.61
São Francisco,354.47,59.85,1436.89
São Francisco de Paula,0,0,153.02
São Francisco de Sales,81.3,64.27,2693.55
São Francisco do Glória,38.87,0,81.82
São Geraldo,77.86,1150.78,361.72
São Geraldo da Piedade,0,0,0
São Geraldo do Baixio,52.16,0,0
São Gonçalo do Abaeté,147.49,101.48,1386.68
São Gonçalo do Pará,326.07,66.75,3699.46
São Gonçalo do Rio Abaixo,37.78,9.28,462.19
São Gonçalo do Rio Preto,0,0,759.25
São Gonçalo do Sapucaí,63.31,23.51,106.58
São Gotardo,17.43,2.86,816.62
São João Batista do Glória,13.62,26.91,1093.56
São João da Lagoa,81.6,141.64,1981.21
São João da Mata,0,0,0
São João da Ponte,84.92,193.38,1640.58
São João das Missões,0,450.94,961.31
São João del Rei,36.92,52.07,629.09
São João do Manhuaçu,0,0,43.71
São João do Manteninha,35.4,0,431.18
São João do Oriente,63.39,38.37,26.48
São João do Pacuí,0,250.23,979.72
São João do Paraíso,0,12.64,119.03
São João Evangelista,6.23,0,500.6
São João Nepomuceno,129.1,56.52,6626.83
São Joaquim de Bicas,92.59,19.89,4569.36
São José da Barra,123.8,0,501.97
São José da Lapa,13.48,78.57,2035.49
